Name,OutcomeType,AnimalType,SexuponOutcome,AgeuponOutcome,Breed,Color
Remy,Return_to_owner,Dog,Neutered Male,5 months,German Shorthair Pointer Mix,White/Chocolate
Tess,Transfer,Dog,Intact Female,11 years,Soft Coated Wheaten Terrier Mix,White/White
nan,Transfer,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Black
Scruffles,Adoption,Cat,Spayed Female,3 years,Domestic Longhair Mix,Torbie
nan,Transfer,Cat,Intact Female,2 weeks,Domestic Shorthair Mix,Blue/Cream
nan,Adoption,Dog,Neutered Male,6 months,Parson Russell Terrier Mix,White/Tan
Ladybird,Adoption,Dog,Spayed Female,2 years,Labrador Retriever Mix,Brown
Lucy,Adoption,Dog,Spayed Female,8 years,Australian Shepherd Mix,Black/Tan
Anna Mae,Transfer,Dog,Spayed Female,10 months,Yorkshire Terrier/Dachshund Wirehair,Black/Tan
Ponyo,Adoption,Dog,Spayed Female,2 months,Catahoula/Cardigan Welsh Corgi,Black/White
nan,Adoption,Dog,Spayed Female,2 years,Dachshund Mix,Tan/White
David,Transfer,Dog,Neutered Male,3 years,Cairn Terrier/Shih Tzu,White/Buff
nan,Transfer,Cat,Intact Female,1 month,Domestic Shorthair Mix,Tortie
Debo,Return_to_owner,Dog,Intact Male,1 year,Pit Bull Mix,Brown Brindle/White
Tonka,Adoption,Dog,Neutered Male,2 years,Great Pyrenees Mix,White/Buff
nan,Transfer,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Brown Tabby
Bella,Adoption,Cat,Intact Female,2 months,Siamese Mix,Seal Point
Lazey,Adoption,Dog,Spayed Female,8 months,Pharaoh Hound Mix,Tan
Leoara,Transfer,Dog,Intact Female,6 years,Labrador Retriever/Border Collie,Black
Coco,Return_to_owner,Dog,Neutered Male,10 months,Golden Retriever Mix,Red/White
nan,Transfer,Cat,Intact Male,1 year,Domestic Shorthair Mix,Orange Tabby
Baby,Return_to_owner,Dog,Spayed Female,5 years,Beagle Mix,White/Black
nan,Transfer,Cat,Intact Male,2 years,Domestic Shorthair Mix,Black
nan,Transfer,Cat,Intact Male,1 week,Domestic Shorthair Mix,Orange Tabby
Macie,Adoption,Dog,Spayed Female,4 years,Dalmatian/Labrador Retriever,Black/White
nan,Transfer,Cat,Intact Male,2 weeks,Domestic Shorthair Mix,White/Gray
Princess,Return_to_owner,Dog,Spayed Female,8 years,Rat Terrier Mix,White/Brown
Dody Becerra,Return_to_owner,Dog,Neutered Male,8 months,Beagle/Dachshund,Brown Brindle/White
nan,Adoption,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Blue Tabby
Cleopatra,Euthanasia,Cat,Spayed Female,7 years,Domestic Shorthair Mix,Calico
Peewee,Return_to_owner,Dog,Neutered Male,1 year,Yorkshire Terrier Mix,Silver
Cody,Transfer,Dog,Intact Male,4 months,Chihuahua Shorthair Mix,Tan
Libby,Adoption,Dog,Spayed Female,1 year,Pit Bull Mix,Brown/White
Luis,Transfer,Cat,Neutered Male,4 months,Domestic Shorthair Mix,Orange Tabby/White
Axle,Return_to_owner,Dog,Neutered Male,3 years,Greyhound/Labrador Retriever,Brown/White
Sachmo,Return_to_owner,Dog,Neutered Male,6 years,Silky Terrier Mix,Silver/Tan
nan,Died,Cat,Spayed Female,2 years,Domestic Shorthair Mix,Black
Doogie,Transfer,Dog,Intact Male,3 months,Chihuahua Shorthair Mix,Brown Brindle
Blake,Adoption,Dog,Neutered Male,3 years,Australian Shepherd Mix,White/Brown
Sadee Lynn,Return_to_owner,Dog,Spayed Female,6 years,Beagle/Jack Russell Terrier,White/Tan
nan,Adoption,Dog,Neutered Male,2 months,Australian Shepherd/Border Collie,Sable/White
Farrah,Transfer,Dog,Spayed Female,4 years,Cocker Spaniel Mix,Buff
Hero,Died,Dog,Neutered Male,10 years,Australian Cattle Dog Mix,White/Black
Punkin,Transfer,Cat,Neutered Male,4 years,Domestic Shorthair Mix,Orange Tabby
Ruby,Adoption,Dog,Spayed Female,1 month,Border Collie Mix,Sable/White
nan,Euthanasia,Cat,Intact Male,1 year,Domestic Shorthair Mix,Orange Tabby
Meowski,Adoption,Cat,Spayed Female,4 months,Domestic Shorthair Mix,Brown Tabby
Saroc,Return_to_owner,Dog,Neutered Male,3 years,Chihuahua Shorthair Mix,Brown/White
Doug,Adoption,Dog,Neutered Male,2 years,Miniature Poodle Mix,White
nan,Adoption,Dog,Neutered Male,1 year,Pit Bull Mix,Black/White
Lou,Return_to_owner,Dog,Neutered Male,1 year,Blue Lacy,Blue/White
Wubsey,Return_to_owner,Dog,Neutered Male,2 years,Chihuahua Shorthair Mix,Brown
Candy,Return_to_owner,Dog,Spayed Female,1 year,Pit Bull Mix,White/Brown
nan,Transfer,Cat,Intact Male,4 weeks,Domestic Shorthair Mix,Blue/White
Milo,Transfer,Cat,Neutered Male,2 years,Domestic Shorthair Mix,Orange Tabby/White
nan,Adoption,Dog,Neutered Male,1 year,Miniature Poodle Mix,White
Rio,Transfer,Cat,Intact Male,2 weeks,Domestic Shorthair Mix,Black/White
Junior,Adoption,Cat,Neutered Male,4 months,Domestic Shorthair Mix,Brown Tabby/White
Simba,Adoption,Dog,Neutered Male,1 year,German Shepherd Mix,Sable
Beasley,Adoption,Cat,Neutered Male,3 months,Domestic Shorthair Mix,Blue
nan,Transfer,Cat,Intact Male,5 months,Domestic Shorthair Mix,White/Black
nan,Transfer,Cat,Intact Male,3 months,Domestic Shorthair Mix,Orange Tabby/White
nan,Transfer,Dog,Unknown,1 month,Boxer Mix,Black
Olive,Adoption,Dog,Spayed Female,3 months,Pointer/Pit Bull,Chocolate/White
Pony Girl,Adoption,Cat,Spayed Female,4 months,Domestic Medium Hair Mix,Brown Tabby
Logan,Return_to_owner,Dog,Neutered Male,5 years,Shih Tzu/Cardigan Welsh Corgi,Tan/White
Jett,Return_to_owner,Dog,Intact Male,5 years,Labrador Retriever Mix,Chocolate
Loverboy,Transfer,Dog,Intact Male,1 year,Lhasa Apso/Shih Tzu,White/Tan
Alex,Transfer,Dog,Intact Male,10 years,Pit Bull Mix,Fawn/White
Marcia,Adoption,Cat,Intact Female,2 months,Domestic Longhair Mix,Brown Tabby
Ruby,Return_to_owner,Dog,Spayed Female,4 months,Miniature Poodle Mix,White
Sidney,Adoption,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Brown Tabby
Amos,Adoption,Dog,Neutered Male,8 months,Boxer Mix,Brown Brindle
Baby,Return_to_owner,Cat,Spayed Female,13 years,Himalayan Mix,Tortie Point
Checkers,Transfer,Dog,Neutered Male,10 years,Rat Terrier Mix,Black/White
Milton,Transfer,Dog,Neutered Male,6 years,Maltese/Yorkshire Terrier,White/Cream
Bo,Return_to_owner,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Orange Tabby/White
Alice,Transfer,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Brown Tabby/White
Cat 1,Adoption,Cat,Spayed Female,10 months,Siamese/Domestic Shorthair,Black
Caramel,Euthanasia,Dog,Intact Female,3 years,Pit Bull Mix,Brown Brindle/White
S'Mores,Transfer,Dog,Spayed Female,1 year,Boxer/Boston Terrier,Brown/White
nan,Transfer,Cat,Unknown,1 week,Domestic Shorthair Mix,Torbie
nan,Transfer,Cat,Intact Male,10 months,Domestic Shorthair Mix,Brown Tabby
Kyba,Return_to_owner,Dog,Neutered Male,10 years,Labrador Retriever Mix,Yellow/White
Rusty,Euthanasia,Dog,Neutered Male,2 years,Pit Bull Mix,Chocolate/White
nan,Transfer,Dog,Intact Female,2 months,Labrador Retriever Mix,Black
nan,Transfer,Cat,Intact Male,1 weeks,Domestic Shorthair Mix,Black/White
Simona,Transfer,Cat,Intact Female,1 year,Domestic Longhair Mix,Blue/Brown
Luna,Transfer,Cat,Intact Female,1 year,Domestic Shorthair Mix,Calico
Roxie,Adoption,Dog,Spayed Female,1 year,Saluki Mix,Brown/Black
Oso,Return_to_owner,Dog,Neutered Male,2 years,Cairn Terrier Mix,Red
Louie,Adoption,Cat,Neutered Male,1 month,Domestic Shorthair Mix,Blue Tabby
Oliver,Transfer,Cat,Neutered Male,1 year,Domestic Medium Hair Mix,Black/White
Coyote,Adoption,Dog,Neutered Male,3 years,Chihuahua Longhair Mix,Black/White
nan,Transfer,Cat,Intact Male,1 year,Domestic Shorthair Mix,Brown Tabby
Nina,Adoption,Dog,Spayed Female,2 years,Cairn Terrier Mix,Tan/White
Dot,Adoption,Dog,Spayed Female,2 months,Border Collie Mix,White/Black
Banana,Transfer,Cat,Spayed Female,7 months,Domestic Shorthair Mix,Brown Tabby
Manny,Adoption,Dog,Neutered Male,3 years,American Bulldog Mix,White
Blackie,Euthanasia,Dog,Spayed Female,3 years,Boxer/Labrador Retriever,Black/White
Sally,Return_to_owner,Dog,Intact Female,1 year,Pit Bull Mix,Black/White
Shine,Euthanasia,Dog,Intact Male,8 years,Pit Bull,Brown Brindle/White
Mitzi,Transfer,Cat,Intact Female,1 year,Domestic Shorthair Mix,Brown Tabby/White
nan,Transfer,Cat,Neutered Male,5 years,Domestic Shorthair Mix,Black/White
Oso,Return_to_owner,Dog,Intact Male,1 year,German Shepherd Mix,Black
nan,Transfer,Cat,Unknown,8 months,Domestic Shorthair Mix,Brown Tabby
nan,Transfer,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Cream Tabby
Pima,Adoption,Cat,Spayed Female,3 years,Siamese Mix,Tortie Point
Maya,Transfer,Cat,Spayed Female,1 year,Domestic Shorthair Mix,Calico
nan,Transfer,Cat,Intact Female,3 weeks,Domestic Shorthair Mix,Brown Tabby/White
Wishbone,Adoption,Cat,Neutered Male,4 months,Domestic Shorthair Mix,Brown Tabby/White
Kobe,Adoption,Dog,Spayed Female,6 years,Labrador Retriever Mix,Yellow
Max,Transfer,Dog,Neutered Male,10 years,Miniature Schnauzer Mix,Gray/Silver
George,Adoption,Cat,Neutered Male,4 months,Siamese Mix,Lilac Point
Chato,Transfer,Dog,Neutered Male,13 years,Pekingese Mix,Black/White
nan,Transfer,Cat,Intact Female,4 months,Domestic Shorthair Mix,Orange Tabby
Copper,Adoption,Dog,Neutered Male,3 years,Catahoula Mix,Tan/White
Max,Adoption,Dog,Neutered Male,2 months,Yorkshire Terrier/Rat Terrier,Tricolor
Ellie,Adoption,Cat,Spayed Female,8 months,Domestic Shorthair Mix,Tortie
Isaac,Adoption,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Black
Star,Transfer,Dog,Intact Female,8 years,Pit Bull Mix,Blue/White
Sylvester,Adoption,Cat,Neutered Male,3 years,Domestic Shorthair Mix,Black/White
Smokey,Adoption,Dog,Neutered Male,1 year,Black/Tan Hound Mix,Tricolor
nan,Transfer,Cat,Intact Female,3 weeks,Domestic Shorthair Mix,Black Tabby
Remington,Return_to_owner,Dog,Neutered Male,4 years,Great Dane/Labrador Retriever,Blue Merle/White
Oils,Adoption,Cat,Neutered Male,3 years,Domestic Shorthair Mix,Black
Amador,Adoption,Dog,Neutered Male,4 years,Chihuahua Shorthair Mix,Black
nan,Transfer,Cat,Intact Female,3 weeks,Domestic Shorthair Mix,Brown Tabby
nan,Adoption,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Brown Tabby
Henry,Transfer,Dog,Neutered Male,2 years,Boston Terrier/Pit Bull,Black/White
nan,Adoption,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Black/White
nan,Euthanasia,Cat,Intact Female,4 weeks,Domestic Medium Hair Mix,Brown Tabby
Mint,Adoption,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Black/White
nan,Euthanasia,Cat,Intact Male,6 years,Domestic Shorthair,Blue Tabby/White
Benny,Adoption,Cat,Neutered Male,2 months,Manx Mix,Black
Diesel,Return_to_owner,Dog,Neutered Male,5 years,German Shepherd Mix,Black/Tan
Tigger,Transfer,Cat,Neutered Male,5 months,Domestic Shorthair Mix,Brown Tabby
nan,Transfer,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Brown Tabby
Eloise,Transfer,Cat,Intact Female,1 year,Domestic Medium Hair Mix,Brown Tabby
Chapito,Transfer,Dog,Neutered Male,8 months,Chihuahua Longhair Mix,Tan
nan,Adoption,Cat,Neutered Male,4 months,Domestic Shorthair Mix,Blue Tabby
Nani,Adoption,Dog,Spayed Female,1 year,Pit Bull Mix,Brown/White
nan,Euthanasia,Cat,Unknown,1 month,Domestic Shorthair Mix,Brown Tabby
Truly,Transfer,Dog,Intact Female,1 year,Shih Tzu,White/Brown
Brian,Transfer,Cat,Intact Male,1 month,Domestic Shorthair Mix,White/Black
Snowflake,Adoption,Cat,Spayed Female,8 months,Domestic Shorthair Mix,Calico
nan,Transfer,Cat,Unknown,1 year,Siamese Mix,Lynx Point
Silver,Adoption,Cat,Spayed Female,2 years,Domestic Medium Hair Mix,Tortie
Papi,Euthanasia,Dog,Intact Male,1 month,Chihuahua Shorthair Mix,Tan/White
Capote,Adoption,Cat,Neutered Male,5 years,Domestic Medium Hair Mix,White/Brown Tabby
Zuchinni,Transfer,Cat,Intact Female,1 month,Domestic Shorthair Mix,Black
Miss Etta,Transfer,Dog,Spayed Female,1 year,Chihuahua Shorthair/Dachshund,Brown
Jordan,Adoption,Dog,Spayed Female,6 years,Boxer Mix,Brown
nan,Transfer,Cat,Intact Male,1 month,Domestic Shorthair Mix,Cream Tabby
Lilly,Adoption,Cat,Intact Female,1 month,Domestic Shorthair Mix,Blue Tabby/White
Bebe,Adoption,Dog,Spayed Female,7 years,Blue Lacy Mix,Blue/White
Ceniza,Transfer,Dog,Spayed Female,2 years,Catahoula Mix,Blue Merle/White
Frenchie,Transfer,Dog,Neutered Male,2 years,Beauceron Mix,Black/Tan
Pepper,Transfer,Dog,Neutered Male,2 years,Dachshund/Chihuahua Shorthair,White/Black
nan,Transfer,Cat,Intact Female,1 year,Domestic Shorthair Mix,Black
Patches,Adoption,Cat,Neutered Male,2 months,Domestic Medium Hair Mix,White/Brown Tabby
Gala,Return_to_owner,Dog,Spayed Female,4 years,Maltese Mix,White
Sansa,Transfer,Cat,Intact Female,1 month,Domestic Shorthair Mix,Black
Daisy,Adoption,Dog,Spayed Female,9 years,Bluetick Hound Mix,Black/White
nan,Adoption,Dog,Spayed Female,2 years,Miniature Pinscher,Chocolate
nan,Transfer,Cat,Intact Female,4 weeks,Domestic Shorthair Mix,White/Brown Tabby
Lucille,Transfer,Dog,Intact Female,6 months,Labrador Retriever/Black/Tan Hound,Yellow
Cherry,Adoption,Dog,Spayed Female,2 months,Australian Cattle Dog Mix,Red/White
Tara,Adoption,Dog,Spayed Female,3 years,Labrador Retriever Mix,Black
Angel,Transfer,Dog,Spayed Female,7 years,Pit Bull Mix,White
Annabelle,Adoption,Dog,Spayed Female,7 years,Labrador Retriever Mix,Black
Giselle,Adoption,Cat,Spayed Female,5 months,Domestic Shorthair Mix,Cream Tabby
Shadow,Transfer,Dog,Spayed Female,2 years,American Pit Bull Terrier Mix,Black/White
Rookie,Adoption,Dog,Neutered Male,1 year,Staffordshire Mix,White/Brown
Missy,Return_to_owner,Dog,Intact Female,3 months,Pit Bull/Pit Bull,White
Merlow,Transfer,Dog,Spayed Female,3 years,Chihuahua Shorthair Mix,Red/White
Copper,Adoption,Dog,Neutered Male,4 years,Golden Retriever/Labrador Retriever,Gold/White
Quincy,Euthanasia,Dog,Neutered Male,3 years,Collie Smooth Mix,Gold/White
nan,Died,Cat,Unknown,1 day,Domestic Shorthair Mix,Blue Tabby
Margot,Adoption,Cat,Spayed Female,2 months,Domestic Longhair Mix,Blue/White
Samson,Return_to_owner,Dog,Intact Male,8 years,Old English Bulldog Mix,Brown Brindle/White
Mugsie,Adoption,Dog,Neutered Male,1 month,Chihuahua Shorthair/Pug,Sable/Black
Brando,Return_to_owner,Dog,Intact Male,6 years,Rhod Ridgeback Mix,Brown
Endo,Return_to_owner,Cat,Neutered Male,5 months,Domestic Shorthair Mix,Black/White
Ramona,Return_to_owner,Cat,Spayed Female,10 years,Domestic Longhair Mix,Black/White
Susan,Return_to_owner,Dog,Spayed Female,5 months,Labrador Retriever Mix,Brown/Red
Pollydoodle,Adoption,Dog,Spayed Female,4 years,American Staffordshire Terrier Mix,Brown Brindle/White
Max,Adoption,Dog,Neutered Male,1 year,German Shepherd,Brown/Black
Autumn,Transfer,Cat,Spayed Female,2 years,Domestic Shorthair Mix,Calico
June,Transfer,Cat,Intact Female,3 weeks,Domestic Shorthair Mix,White/Brown Tabby
nan,Transfer,Cat,Intact Female,1 year,Domestic Shorthair Mix,Tortie
Josilyn,Adoption,Dog,Spayed Female,5 years,Miniature Poodle Mix,Apricot
Reno,Transfer,Dog,Intact Male,10 months,Border Collie/Catahoula,Brown Merle/White
Dino,Transfer,Cat,Neutered Male,4 months,Domestic Shorthair Mix,Orange Tabby/White
nan,Transfer,Dog,Neutered Male,2 months,Labrador Retriever Mix,Black
nan,Transfer,Cat,Intact Male,2 years,Domestic Shorthair Mix,Blue Tabby
Ricky,Transfer,Cat,Intact Male,2 months,Domestic Shorthair Mix,Brown Tabby
nan,Died,Cat,Intact Female,1 month,Domestic Shorthair Mix,Blue Smoke
Kuku,Adoption,Cat,Spayed Female,11 months,Domestic Medium Hair Mix,Calico
Sugg,Transfer,Dog,Spayed Female,2 years,Pit Bull Mix,Brown Brindle/White
nan,Transfer,Cat,Intact Female,5 months,Domestic Medium Hair Mix,Brown Tabby
Betty,Adoption,Dog,Spayed Female,8 years,Chihuahua Shorthair Mix,White/Brown
nan,Transfer,Cat,Intact Female,1 month,Domestic Shorthair Mix,Black
Wilbur,Adoption,Cat,Neutered Male,1 month,Domestic Shorthair Mix,Black Smoke/White
Puffy,Adoption,Cat,Neutered Male,3 months,Domestic Shorthair Mix,Orange Tabby
nan,Transfer,Cat,Spayed Female,2 years,Domestic Shorthair Mix,Black/White
Minnie,Adoption,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Brown Tabby
nan,Adoption,Dog,Spayed Female,2 years,German Shepherd Mix,Brown/Black
nan,Transfer,Cat,Intact Female,1 year,Domestic Shorthair Mix,Tortie/Orange
Austin,Adoption,Cat,Spayed Female,10 years,Domestic Shorthair Mix,Calico
Maddie,Adoption,Dog,Spayed Female,2 months,Carolina Dog Mix,Tan/Black
Mowgli,Adoption,Dog,Neutered Male,10 months,Chihuahua Shorthair Mix,Black/Tan
Ritzy,Adoption,Cat,Spayed Female,1 year,Domestic Shorthair Mix,Black/White
Higgins,Transfer,Dog,Neutered Male,4 years,Miniature Pinscher Mix,Black/Tan
Chewy,Transfer,Dog,Neutered Male,2 years,Blue Lacy Mix,Blue/White
nan,Adoption,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Brown Tabby
Rambo,Return_to_owner,Dog,Neutered Male,2 years,Doberman Pinsch,Black/Tan
Daisy,Adoption,Dog,Spayed Female,3 months,Golden Retriever Mix,Red/White
Lola,Return_to_owner,Dog,Spayed Female,8 months,Beagle Mix,Black/White
Wiley,Adoption,Dog,Neutered Male,1 year,Pug/Chihuahua Shorthair,Buff
Shelby,Euthanasia,Dog,Spayed Female,2 years,Pit Bull Mix,Fawn/White
Ms. Piper,Adoption,Cat,Spayed Female,1 month,Domestic Medium Hair Mix,Black Tabby
Lonnie,Adoption,Dog,Neutered Male,4 years,Labrador Retriever Mix,Brown/White
Anasa,Adoption,Cat,Intact Female,2 months,Domestic Shorthair Mix,Torbie
nan,Transfer,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Orange Tabby
Beullah,Adoption,Cat,Spayed Female,6 years,Domestic Shorthair Mix,Torbie
nan,Transfer,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Blue Tabby
nan,Transfer,Cat,Unknown,1 week,Domestic Shorthair Mix,Blue Tabby
Trudy,Adoption,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Brown Tabby
nan,Transfer,Dog,Intact Female,3 months,Anatol Shepherd Mix,Cream/Black
Hailey,Adoption,Dog,Spayed Female,2 years,Australian Cattle Dog Mix,White/Brown
Petey,Return_to_owner,Dog,Neutered Male,3 months,Shih Tzu,Tricolor
nan,Transfer,Dog,Intact Male,3 years,Pit Bull Mix,Brown Brindle
Carolina,Return_to_owner,Dog,Spayed Female,5 years,Beagle,Black/Tan
Bella,Adoption,Dog,Spayed Female,11 months,Miniature Schnauzer Mix,Black/Brown
nan,Adoption,Dog,Neutered Male,2 months,Labrador Retriever/Great Pyrenees,Brown/White
Romero,Return_to_owner,Dog,Neutered Male,6 years,Miniature Poodle Mix,White
Daisy,Return_to_owner,Dog,Spayed Female,16 years,Border Collie Mix,Black/White
Spring,Euthanasia,Cat,Spayed Female,10 years,Domestic Shorthair Mix,Calico/Orange Tabby
Dory,Adoption,Dog,Spayed Female,2 years,Labrador Retriever Mix,Black/White
Summer,Adoption,Dog,Spayed Female,3 years,Australian Cattle Dog Mix,Brown/White
Poot,Adoption,Dog,Neutered Male,7 years,Chihuahua Shorthair Mix,Tan/White
Sophie,Adoption,Dog,Intact Female,12 years,Chihuahua Shorthair Mix,White/Black
Huggy Bear,Adoption,Dog,Neutered Male,1 year,Labrador Retriever/German Shepherd,Black/White
Turbo 2,Transfer,Dog,Intact Male,5 years,Lhasa Apso/Miniature Poodle,Cream/Gray
Pico,Adoption,Cat,Spayed Female,2 years,Domestic Shorthair Mix,Brown Tabby/White
Zelda,Return_to_owner,Cat,Spayed Female,8 months,Domestic Shorthair Mix,Blue/White
Annabelle,Adoption,Cat,Spayed Female,2 months,Domestic Longhair Mix,Black
Sparky,Adoption,Cat,Neutered Male,2 months,Domestic Shorthair Mix,White/Flame Point
Gerald,Adoption,Cat,Intact Male,2 months,Domestic Shorthair Mix,Cream Tabby
nan,Euthanasia,Dog,Intact Male,6 years,Carolina Dog Mix,Sable
Batman,Adoption,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Black
Romeo,Transfer,Cat,Neutered Male,8 years,Domestic Shorthair Mix,Black
nan,Transfer,Cat,Unknown,3 weeks,Domestic Shorthair Mix,White/Brown Tabby
River,Adoption,Dog,Spayed Female,2 years,Pit Bull Mix,Brown/White
Lala,Adoption,Dog,Spayed Female,6 years,Australian Cattle Dog Mix,Blue Merle
Poppy,Transfer,Dog,Intact Female,2 years,Chihuahua Shorthair,White/Blue
Abe,Adoption,Dog,Neutered Male,2 years,Australian Shepherd Mix,White/Brown
Elsa,Return_to_owner,Dog,Spayed Female,1 year,Chihuahua Shorthair Mix,White/Tan
Bentley,Adoption,Dog,Neutered Male,8 months,Pug/Chihuahua Shorthair,Black/White
Belle,Adoption,Dog,Spayed Female,1 year,Anatol Shepherd Mix,White/Brown Brindle
Chelsea,Transfer,Cat,Spayed Female,5 years,Domestic Shorthair Mix,Calico
nan,Adoption,Cat,Neutered Male,8 months,Domestic Shorthair Mix,Orange Tabby
Moxie,Return_to_owner,Dog,Spayed Female,3 years,Boxer/Staffordshire,Brown Brindle/White
Minnie,Return_to_owner,Dog,Spayed Female,1 year,Cocker Spaniel Mix,White/Brown
Ginger,Adoption,Cat,Spayed Female,6 months,Domestic Shorthair Mix,Cream Tabby
nan,Transfer,Cat,Unknown,6 days,Domestic Shorthair Mix,Brown Tabby/White
nan,Return_to_owner,Dog,Intact Female,1 day,Pit Bull Mix,Brown Brindle/White
Abby,Return_to_owner,Dog,Spayed Female,5 years,Boxer,White/Brown
Rocko,Return_to_owner,Dog,Intact Male,8 months,Pit Bull Mix,White/Blue
Jake,Adoption,Dog,Neutered Male,1 year,Chihuahua Shorthair Mix,White/Brown Brindle
nan,Transfer,Dog,Neutered Male,2 years,Dachshund Mix,Black/Tan
Goobey,Transfer,Dog,Neutered Male,7 years,Pembroke Welsh Corgi Mix,Tan
Lizzie,Return_to_owner,Dog,Spayed Female,6 years,Queensland Heeler Mix,Red Merle/White
Maddie,Return_to_owner,Cat,Spayed Female,5 years,Domestic Shorthair Mix,Brown Tabby/White
Jd,Adoption,Dog,Neutered Male,2 months,Border Collie Mix,Sable/White
Sam,Adoption,Dog,Neutered Male,4 years,Toy Poodle Mix,White/Cream
Glenn,Transfer,Cat,Neutered Male,6 months,Domestic Shorthair Mix,Blue Tabby/White
Tubbins Mclo,Adoption,Cat,Neutered Male,4 months,Domestic Shorthair Mix,Brown Tabby/White
Chiquita,Euthanasia,Dog,Intact Female,6 years,Chihuahua Shorthair Mix,Brown
nan,Transfer,Cat,Unknown,3 years,Domestic Longhair Mix,Brown Tabby/White
Valentine,Euthanasia,Dog,Intact Male,3 years,Standard Poodle Mix,Black
Lavender,Transfer,Dog,Spayed Female,1 year,Pit Bull Mix,White/Brown
Mowgli,Adoption,Cat,Intact Male,2 months,Domestic Shorthair Mix,Black
Bedo,Return_to_owner,Dog,Neutered Male,2 years,Labrador Retriever Mix,Brown
Pistachio,Transfer,Cat,Intact Female,1 month,Domestic Shorthair Mix,Black/White
Grace Kelly,Transfer,Dog,Intact Female,2 years,Bull Terrier Mix,Tan/White
Mumble,Return_to_owner,Dog,Neutered Male,2 years,Labrador Retriever Mix,Black/White
Lacey,Adoption,Dog,Spayed Female,2 years,Chihuahua Longhair Mix,Tricolor
nan,Transfer,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Brown Tabby
Annie,Adoption,Dog,Spayed Female,3 months,Dachshund Wirehair/Miniature Poodle,Black/Tan
Peewee,Return_to_owner,Dog,Neutered Male,1 year,Pit Bull/Plott Hound,Brown Brindle
Mercedes,Adoption,Dog,Spayed Female,6 months,German Shepherd Mix,Sable
Baby,Return_to_owner,Dog,Neutered Male,5 years,Chihuahua Shorthair Mix,Brown
nan,Transfer,Cat,Unknown,2 years,Domestic Shorthair Mix,Blue Tabby
nan,Transfer,Cat,Intact Male,2 years,Domestic Shorthair Mix,Orange Tabby
Wrigley,Adoption,Dog,Spayed Female,1 year,German Shorthair Pointer Mix,Chocolate/White
nan,Adoption,Cat,Neutered Male,1 year,Domestic Medium Hair Mix,Brown Tabby
Bodhi,Adoption,Dog,Neutered Male,7 years,Labrador Retriever Mix,Black/White
Sally,Adoption,Dog,Spayed Female,2 years,Pit Bull Mix,Blue/White
Gracie,Transfer,Dog,Intact Female,3 months,Basenji Mix,Red/White
nan,Adoption,Dog,Neutered Male,1 year,Chihuahua Shorthair Mix,Tan/White
Tyson,Return_to_owner,Dog,Neutered Male,1 year,Black Mouth Cur Mix,Brown/White
Chloe,Adoption,Dog,Spayed Female,6 years,Parson Russell Terrier Mix,White/Black
Ginger,Adoption,Dog,Spayed Female,2 months,Chihuahua Shorthair Mix,Tan
nan,Euthanasia,Cat,Intact Male,1 month,Domestic Longhair Mix,Black
Rosie,Euthanasia,Dog,Spayed Female,8 years,Labrador Retriever Mix,Black
Lucas,Adoption,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Blue Tabby
Prancer,Adoption,Dog,Neutered Male,1 year,Chihuahua Shorthair/Pug,Brown
Kevin,Adoption,Dog,Neutered Male,1 year,American Pit Bull Terrier Mix,Black/White
Zooey,Return_to_owner,Dog,Spayed Female,2 years,French Bulldog Mix,Fawn
nan,Transfer,Cat,Intact Female,2 years,Domestic Shorthair Mix,Tortie
Wilma,Adoption,Dog,Spayed Female,1 year,Beagle/Chinese Sharpei,Tricolor
Rocky,Adoption,Cat,Neutered Male,5 years,Domestic Shorthair Mix,Black/White
Rocky,Return_to_owner,Dog,Intact Male,2 months,Chihuahua Shorthair Mix,Tricolor
nan,Transfer,Cat,Neutered Male,2 years,Domestic Shorthair Mix,Black
Angel Marie,Adoption,Dog,Spayed Female,7 months,Cairn Terrier,Tan
Charlie,Adoption,Cat,Neutered Male,7 years,Domestic Shorthair Mix,Orange Tabby
nan,Adoption,Cat,Neutered Male,4 months,Domestic Shorthair Mix,Brown Tabby
Lott,Return_to_owner,Dog,Neutered Male,11 years,Labrador Retriever Mix,Chocolate
